_id,name,type,latitude,longitude
376689,Ingolstadt,location,48.76508,11.42372
368460,Innsbruck,location,47.26266,11.39454
398252,Inowroc?aw,location,52.79886,18.26388
380457,Inverness,location,57.47908,-4.22398
313871,Innsbruck,airport,47.25988,11.34726
315098,Inverness,airport,57.53986,-4.063525
